area,rainfall_1h,rainfall_3h,rainfall_6h,rainfall_12h,rainfall_24h,waterlogging,historical_flood,elevation,drainage_efficiency,urban_density,slope,previous_risk,risk_score_24h,risk_label_24h
Pallikaranai,78,113,145,71,79,26,75,62,82,45,7,82,40.21,MODERATE
Pallikaranai,18,26,43,167,229,63,26,61,24,89,31,67,100.0,SEVERE
Pallikaranai,47,52,168,168,98,91,5,49,34,79,15,44,74.86,HIGH
Pallikaranai,40,119,107,77,61,27,69,45,45,68,29,55,55.4,HIGH
Pallikaranai,48,60,158,149,211,59,34,54,66,83,8,61,100.0,SEVERE
Pallikaranai,73,82,172,141,65,61,77,12,27,56,29,52,53.16,MODERATE
Pallikaranai,54,87,82,65,139,60,18,21,21,84,31,76,100.0,SEVERE
Pallikaranai,86,79,77,107,205,47,83,69,22,83,14,51,100.0,SEVERE
Pallikaranai,36,25,148,74,135,26,16,33,88,96,14,50,83.18,SEVERE
Pallikaranai,85,30,67,107,67,79,85,33,82,86,28,74,64.86,HIGH
Pallikaranai,24,60,62,58,253,88,93,71,68,71,34,54,100.0,SEVERE
Pallikaranai,69,101,133,134,99,12,62,56,77,97,18,76,60.92,HIGH
Pallikaranai,77,25,121,209,191,89,5,44,78,78,31,47,92.7,SEVERE
Pallikaranai,79,31,71,66,200,29,31,67,47,48,2,28,86.98,SEVERE
Pallikaranai,89,41,85,77,139,57,80,32,77,77,11,82,87.65,SEVERE
Pallikaranai,87,111,42,203,249,80,25,52,60,77,22,61,100.0,SEVERE
Pallikaranai,52,21,40,212,241,59,17,63,30,62,12,10,100.0,SEVERE
Pallikaranai,35,70,35,124,163,38,83,23,30,71,31,40,100.0,SEVERE
Pallikaranai,45,37,124,104,247,34,55,45,38,69,5,61,100.0,SEVERE
Pallikaranai,36,48,114,167,258,12,23,24,39,67,30,12,100.0,SEVERE
Pallikaranai,59,87,51,176,109,53,67,50,44,63,17,13,89.75,SEVERE
Pallikaranai,46,85,46,219,135,11,65,46,68,85,17,76,82.38,SEVERE
Pallikaranai,22,81,72,168,220,83,92,14,30,95,14,12,100.0,SEVERE
Pallikaranai,38,27,139,83,130,10,60,38,85,60,8,23,75.95,SEVERE
Pallikaranai,16,60,158,180,187,85,78,53,84,47,29,33,96.72,SEVERE
Pallikaranai,49,28,88,119,247,90,56,76,52,64,29,63,100.0,SEVERE
Pallikaranai,66,95,106,55,80,22,46,51,80,53,27,63,39.99,MODERATE
Pallikaranai,34,108,168,189,165,51,31,62,26,56,6,49,98.76,SEVERE
Pallikaranai,40,106,115,189,242,86,35,70,88,97,13,28,100.0,SEVERE
Pallikaranai,82,77,56,121,202,57,34,30,24,57,24,29,100.0,SEVERE
Pallikaranai,57,69,155,200,168,63,69,44,33,65,9,47,100.0,SEVERE
Pallikaranai,29,102,89,83,202,70,82,61,94,74,11,79,100.0,SEVERE
Pallikaranai,76,108,84,173,244,77,0,54,32,90,4,89,100.0,SEVERE
Pallikaranai,28,101,92,176,73,48,91,74,35,63,15,55,79.99,SEVERE
Pallikaranai,71,42,80,192,197,43,91,34,62,54,8,49,98.54,SEVERE
Pallikaranai,41,109,123,61,207,58,38,40,42,76,20,45,100.0,SEVERE
Pallikaranai,49,67,79,148,105,52,12,40,78,89,24,69,60.6,HIGH
Pallikaranai,62,100,119,195,114,23,8,48,69,57,27,69,72.09,HIGH
Pallikaranai,69,87,59,93,157,53,16,76,49,62,3,80,95.12,SEVERE
Pallikaranai,49,107,60,78,220,79,54,7,90,63,32,79,100.0,SEVERE
Pallikaranai,63,73,38,115,206,79,55,58,21,68,18,81,100.0,SEVERE
Pallikaranai,38,37,115,159,220,92,7,23,42,54,29,21,100.0,SEVERE
Pallikaranai,86,42,83,135,165,94,40,5,51,73,19,50,100.0,SEVERE
Pallikaranai,30,55,131,119,145,24,25,60,83,87,12,20,66.42,HIGH
Pallikaranai,51,109,165,50,201,35,19,46,22,60,20,31,100.0,SEVERE
Pallikaranai,73,38,43,140,111,70,9,48,94,45,11,77,75.78,SEVERE
Pallikaranai,27,96,159,111,154,76,17,20,78,51,27,49,82.12,SEVERE
Pallikaranai,85,42,40,173,166,81,10,11,62,92,15,73,100.0,SEVERE
Pallikaranai,50,89,111,164,173,54,43,53,76,95,22,18,81.2,SEVERE
Pallikaranai,12,27,120,210,161,47,8,55,24,90,28,89,94.24,SEVERE
Pallikaranai,33,99,66,200,90,14,21,61,65,61,23,61,53.46,MODERATE
Pallikaranai,18,45,111,72,155,19,78,12,26,78,9,38,79.2,SEVERE
Pallikaranai,70,89,69,166,202,55,57,75,54,63,19,76,96.78,SEVERE
Pallikaranai,46,93,67,218,221,81,8,48,59,77,30,38,100.0,SEVERE
Pallikaranai,70,97,83,219,61,51,60,9,53,75,22,19,46.37,MODERATE
Pallikaranai,61,52,117,174,219,25,90,17,21,42,8,79,100.0,SEVERE
Tambaram,43,23,99,54,155,57,52,26,77,75,10,44,93.37,SEVERE
Tambaram,70,48,132,165,181,14,87,76,93,98,32,69,99.37,SEVERE
Tambaram,29,41,155,188,164,72,12,21,84,67,20,47,93.46,SEVERE
Tambaram,70,88,86,159,250,65,49,25,59,62,22,13,100.0,SEVERE
Tambaram,40,63,113,124,211,30,75,20,47,75,31,28,100.0,SEVERE
Tambaram,16,96,139,113,184,42,27,37,43,88,15,35,94.09,SEVERE
Tambaram,31,113,102,162,251,46,19,61,20,67,34,43,100.0,SEVERE
Tambaram,27,51,110,67,142,45,83,14,83,64,23,54,79.38,SEVERE
Tambaram,27,23,143,155,238,48,1,6,52,54,32,19,99.27,SEVERE
Tambaram,19,47,55,118,126,54,53,5,29,49,8,17,89.06,SEVERE
Tambaram,34,52,103,143,126,28,40,6,56,96,15,18,74.17,HIGH
Tambaram,25,34,163,216,173,62,64,50,60,99,26,17,100.0,SEVERE
Tambaram,42,40,160,155,172,45,12,33,52,95,12,21,96.87,SEVERE
Tambaram,48,57,131,160,119,92,59,9,50,95,14,55,84.74,SEVERE
Tambaram,79,34,109,140,90,67,11,39,44,49,29,29,74.33,HIGH
Tambaram,80,23,75,170,215,94,55,5,85,49,5,63,100.0,SEVERE
Tambaram,23,78,72,166,142,59,47,32,45,81,18,57,93.96,SEVERE
Tambaram,83,76,139,199,244,66,78,40,75,59,25,16,100.0,SEVERE
Tambaram,62,21,57,217,226,28,13,66,94,50,23,32,92.48,SEVERE
Tambaram,20,52,113,185,64,91,64,70,89,49,5,72,66.49,HIGH
Tambaram,47,111,150,138,99,38,68,16,59,40,12,29,63.17,HIGH
Tambaram,21,99,130,214,242,18,74,49,28,55,32,53,100.0,SEVERE
Tambaram,77,48,58,147,258,25,25,40,34,79,10,20,100.0,SEVERE
Tambaram,84,70,93,189,98,65,68,58,36,82,22,80,65.26,HIGH
Tambaram,76,47,142,66,203,61,19,9,75,54,18,14,89.54,SEVERE
Tambaram,84,36,64,153,180,77,92,66,30,58,32,53,100.0,SEVERE
Tambaram,13,67,154,161,86,27,85,78,76,45,22,76,57.48,HIGH
Tambaram,47,44,75,176,73,17,39,63,69,75,19,18,58.54,HIGH
Tambaram,70,95,72,99,123,85,48,62,53,81,19,32,91.01,SEVERE
Tambaram,71,114,71,65,176,37,43,22,49,63,13,69,77.55,SEVERE
Tambaram,19,77,60,103,142,22,38,25,83,91,2,58,75.3,SEVERE
Tambaram,47,98,89,60,134,31,38,22,31,99,6,66,100.0,SEVERE
Tambaram,82,20,78,81,175,64,89,33,37,95,24,71,100.0,SEVERE
Tambaram,41,94,65,215,95,49,31,53,71,95,28,29,62.72,HIGH
Tambaram,49,29,154,160,65,76,60,51,84,69,17,59,65.22,HIGH
Tambaram,77,41,108,95,106,60,80,38,30,54,7,80,100.0,SEVERE
Tambaram,15,64,167,119,190,25,14,59,24,66,12,11,99.33,SEVERE
Tambaram,15,101,113,173,79,83,1,73,69,60,2,58,68.44,HIGH
Tambaram,71,46,69,87,104,19,24,54,42,86,29,70,73.5,HIGH
Tambaram,84,40,102,127,209,56,79,73,49,92,7,83,100.0,SEVERE
Tambaram,41,116,53,129,240,14,26,11,44,63,22,30,100.0,SEVERE
Tambaram,85,115,67,83,70,91,70,62,41,78,3,64,68.24,HIGH
Tambaram,66,84,98,81,64,89,28,27,71,55,14,66,62.28,HIGH
Tambaram,10,65,103,157,90,23,76,55,80,56,34,31,63.5,HIGH
Tambaram,83,53,151,106,218,48,6,19,71,51,11,53,97.57,SEVERE
Tambaram,59,88,141,210,84,46,23,72,60,45,24,13,63.05,HIGH
Tambaram,50,96,117,193,172,14,7,63,22,62,2,34,85.26,SEVERE
Tambaram,47,119,45,60,114,80,40,52,22,84,4,66,98.54,SEVERE
Tambaram,33,38,83,50,93,60,30,31,80,47,15,24,51.63,MODERATE
Tambaram,13,27,158,59,216,87,46,28,78,98,5,87,100.0,SEVERE
Tambaram,14,91,46,152,72,68,23,12,24,51,19,16,54.53,MODERATE
Tambaram,33,118,130,164,94,70,55,78,55,80,13,13,77.69,SEVERE
Tambaram,69,56,136,50,67,53,62,75,76,55,28,49,51.16,MODERATE
Tambaram,12,25,178,63,247,71,14,69,30,48,20,33,100.0,SEVERE
Tambaram,58,22,70,144,157,69,21,53,76,63,10,54,89.25,SEVERE
Tambaram,55,35,117,208,167,74,30,74,80,95,26,61,97.47,SEVERE
Tambaram,77,61,47,50,106,15,21,13,93,45,22,38,61.13,HIGH
Tambaram,87,99,176,150,194,22,85,61,39,61,22,11,100.0,SEVERE
Tambaram,15,53,156,96,167,79,3,61,41,81,8,21,93.32,SEVERE
Tambaram,88,87,102,83,119,65,34,41,32,66,9,18,76.97,SEVERE
Tambaram,39,29,109,77,63,21,44,76,38,57,10,38,46.62,MODERATE
Tambaram,62,109,172,145,202,88,78,27,29,46,31,54,100.0,SEVERE
Tambaram,32,100,123,199,120,50,12,77,58,73,15,31,73.04,HIGH
Tambaram,63,23,75,186,77,18,80,28,40,73,8,13,52.06,MODERATE
Tambaram,22,89,78,62,62,50,84,30,24,53,18,25,68.29,HIGH
Tambaram,37,115,82,73,247,91,31,49,32,78,24,66,100.0,SEVERE
Tambaram,54,101,61,132,143,55,14,29,91,46,22,63,77.58,SEVERE
Tambaram,12,47,49,66,92,26,83,52,22,77,6,43,66.58,HIGH
Tambaram,20,63,102,109,184,71,72,48,60,69,9,48,100.0,SEVERE
Tambaram,39,95,173,134,232,50,13,6,30,96,17,35,100.0,SEVERE
Tambaram,79,119,47,172,127,14,92,9,35,41,17,57,74.02,HIGH
Tambaram,19,113,151,209,166,56,78,51,52,57,18,15,86.11,SEVERE
Tambaram,79,30,49,64,218,36,32,5,92,66,28,66,92.57,SEVERE
Tambaram,54,80,64,193,246,44,9,68,86,70,21,27,100.0,SEVERE
Tambaram,48,47,135,54,75,30,45,32,34,61,13,51,62.34,HIGH
Tambaram,74,49,165,138,97,38,74,66,48,49,8,18,68.09,HIGH
Tambaram,46,87,155,185,87,60,88,63,44,63,31,12,58.17,HIGH
Tambaram,81,23,38,105,100,52,29,31,62,73,32,48,73.49,HIGH
Tambaram,23,86,159,104,95,39,27,48,84,75,6,35,54.71,MODERATE
Tambaram,56,89,82,160,139,21,37,38,20,93,19,12,84.82,SEVERE
Tambaram,10,36,87,136,205,46,61,5,69,94,19,46,100.0,SEVERE
Tambaram,12,48,55,197,156,88,66,46,58,52,20,64,96.17,SEVERE
Tambaram,85,114,110,124,88,32,87,15,49,81,9,87,75.19,SEVERE
Tambaram,29,94,160,207,230,16,72,13,25,81,17,61,100.0,SEVERE
Tambaram,52,103,98,138,159,87,4,70,81,88,15,51,86.75,SEVERE
Tambaram,80,70,139,67,217,66,99,15,60,70,19,14,100.0,SEVERE
Tambaram,59,43,98,155,72,76,71,9,24,91,11,78,70.69,HIGH
Tambaram,31,85,50,118,129,23,35,44,70,45,30,80,73.24,HIGH
Tambaram,44,102,140,145,95,57,90,78,53,54,26,16,69.22,HIGH
Tambaram,89,52,99,104,148,10,59,49,43,55,27,25,81.89,SEVERE
Tambaram,80,56,49,199,89,38,2,55,72,85,10,36,41.47,MODERATE
Tambaram,12,89,152,145,187,10,3,7,31,99,22,72,83.66,SEVERE
Tambaram,25,110,39,53,75,77,25,38,55,87,13,10,66.83,HIGH
Tambaram,68,95,48,184,74,62,38,27,56,58,28,87,59.59,HIGH
Tambaram,50,64,150,143,153,44,37,46,71,65,28,76,79.67,SEVERE
Tambaram,23,113,77,145,116,47,34,57,26,90,31,55,84.6,SEVERE
Tambaram,25,94,66,164,121,73,79,20,66,69,11,57,87.98,SEVERE
Tambaram,86,105,111,153,133,20,57,66,37,83,26,70,82.1,SEVERE
Tambaram,43,105,165,120,253,58,38,5,65,78,33,67,100.0,SEVERE
Tambaram,69,69,97,187,182,67,46,25,58,97,21,66,91.56,SEVERE
Tambaram,29,117,99,206,238,74,91,50,83,50,4,53,100.0,SEVERE
Tambaram,52,72,123,197,228,19,59,33,79,70,34,44,100.0,SEVERE
Tambaram,84,35,89,192,253,51,48,8,93,40,2,47,100.0,SEVERE
Tambaram,60,90,78,185,181,29,71,49,80,49,9,34,87.76,SEVERE
Tambaram,68,74,113,200,149,29,13,29,68,68,15,48,90.65,SEVERE
Tambaram,22,31,70,194,151,83,64,46,41,60,6,51,100.0,SEVERE
Tambaram,13,99,171,134,167,88,51,51,52,70,19,66,100.0,SEVERE
Tambaram,16,110,163,81,118,92,32,65,78,91,2,48,86.42,SEVERE
Tambaram,27,50,61,179,259,21,23,28,86,66,11,35,100.0,SEVERE
Tambaram,21,102,96,93,205,73,15,10,23,85,22,73,100.0,SEVERE
Tambaram,57,92,92,205,239,78,99,34,28,69,26,72,100.0,SEVERE
Tambaram,45,100,43,105,105,78,46,11,39,42,17,89,86.15,SEVERE
Tambaram,29,63,133,98,112,21,0,42,94,53,16,84,55.5,HIGH
Tambaram,50,34,70,91,182,26,25,21,46,79,15,36,77.64,SEVERE
Tambaram,11,109,167,152,174,69,44,32,46,49,29,35,86.39,SEVERE
Tambaram,50,82,70,97,205,48,14,67,50,80,13,54,98.03,SEVERE
Tambaram,26,87,167,159,88,26,20,12,76,97,19,57,62.13,HIGH
Tambaram,47,78,79,60,173,79,7,21,39,88,18,52,96.87,SEVERE
Tambaram,67,23,51,188,191,24,43,8,70,85,11,38,91.68,SEVERE
Tambaram,31,44,97,196,212,35,94,20,88,58,19,26,100.0,SEVERE
Tambaram,79,28,107,76,237,45,67,70,60,43,9,27,100.0,SEVERE
Tambaram,48,109,70,165,138,30,25,36,45,52,13,20,72.43,HIGH
Tambaram,18,77,163,111,229,61,73,27,22,60,32,73,100.0,SEVERE
Tambaram,39,52,169,147,119,33,87,9,24,84,2,23,81.55,SEVERE
Tambaram,68,68,48,81,212,18,59,31,47,97,21,59,100.0,SEVERE
Tambaram,64,23,69,152,184,17,78,45,37,85,34,43,93.18,SEVERE
Tambaram,57,24,105,54,67,46,74,71,26,54,15,55,76.63,SEVERE
Tambaram,53,26,46,76,192,38,24,55,81,66,31,68,98.28,SEVERE
Tambaram,24,95,173,218,175,74,88,68,87,89,14,68,100.0,SEVERE
Tambaram,74,113,120,130,93,64,56,43,70,91,6,44,83.17,SEVERE
Tambaram,72,99,158,213,181,31,56,58,27,85,19,84,99.93,SEVERE
Tambaram,45,77,130,148,240,24,72,78,36,55,17,67,100.0,SEVERE
Tambaram,73,64,128,85,152,26,2,69,80,70,2,17,59.62,HIGH
Tambaram,26,45,159,198,212,36,57,20,84,45,26,50,87.0,SEVERE
Tambaram,22,95,126,128,134,39,48,24,41,56,2,84,89.08,SEVERE
Tambaram,22,118,104,105,140,17,31,23,80,43,16,73,70.8,HIGH
Tambaram,27,53,67,162,118,63,65,75,47,97,15,64,76.48,SEVERE
Tambaram,47,99,86,133,159,69,61,10,80,85,5,86,87.64,SEVERE
Tambaram,49,103,75,208,143,29,35,44,71,95,8,86,80.04,SEVERE
Tambaram,84,54,124,168,62,28,68,29,20,41,29,22,63.92,HIGH
Tambaram,19,85,113,160,158,76,64,36,21,56,6,11,93.79,SEVERE
Tambaram,16,51,108,80,114,11,5,16,53,79,28,60,67.61,HIGH
Tambaram,30,99,170,146,228,21,87,47,36,43,25,44,100.0,SEVERE
Tambaram,89,62,46,97,89,68,80,68,67,86,15,60,73.01,HIGH
Tambaram,54,23,114,172,133,56,28,25,29,59,28,84,72.29,HIGH
Tambaram,59,67,96,155,216,45,56,40,41,57,4,45,100.0,SEVERE
Tambaram,88,23,145,185,147,34,35,56,84,78,18,62,75.19,SEVERE
Tambaram,39,93,127,169,163,30,7,26,59,65,18,32,82.46,SEVERE
Tambaram,77,59,99,152,112,28,37,65,30,66,24,66,68.62,HIGH
Tambaram,11,66,152,54,237,67,0,30,36,96,20,35,100.0,SEVERE
Tambaram,10,45,58,155,193,49,14,32,83,52,7,18,100.0,SEVERE
Tambaram,56,119,128,120,101,10,15,76,30,41,28,43,68.73,HIGH
Tambaram,51,111,102,171,235,49,28,78,37,42,21,88,100.0,SEVERE
Tambaram,76,112,96,93,162,22,84,54,56,70,25,51,98.52,SEVERE
Tambaram,85,82,142,102,67,44,87,15,60,51,16,21,60.38,HIGH
Tambaram,70,90,69,140,80,41,50,55,27,88,17,80,72.47,HIGH
Tambaram,65,101,57,136,65,50,81,69,41,63,20,41,63.15,HIGH
Tambaram,42,71,168,142,137,66,77,37,56,53,30,79,100.0,SEVERE
Tambaram,31,112,44,85,122,57,24,45,76,89,5,21,68.89,HIGH
Tambaram,62,73,149,149,107,53,70,7,65,69,4,31,57.87,HIGH
Tambaram,33,84,93,134,219,17,35,10,89,51,29,25,80.95,SEVERE
Tambaram,76,37,65,199,124,27,74,11,85,92,30,33,78.26,SEVERE
Tambaram,36,115,126,210,210,70,11,10,23,75,8,89,100.0,SEVERE
Tambaram,63,30,43,117,127,36,52,14,29,81,34,31,72.1,HIGH
Tambaram,36,29,96,134,192,23,18,37,25,48,22,86,97.71,SEVERE
Tambaram,89,72,138,83,175,16,62,20,88,43,23,21,73.41,HIGH
Tambaram,87,85,88,64,179,47,5,48,35,54,2,39,80.75,SEVERE
Tambaram,44,42,54,129,72,94,47,79,86,98,19,43,72.1,HIGH
Tambaram,77,52,36,90,108,11,66,12,83,67,25,37,55.34,HIGH
Tambaram,61,91,73,110,249,82,41,23,42,72,20,24,100.0,SEVERE
Tambaram,73,35,94,77,108,62,28,24,94,50,8,84,66.07,HIGH
Tambaram,43,76,71,143,189,31,81,38,92,45,12,67,83.69,SEVERE
Tambaram,88,39,95,103,144,86,73,64,39,96,16,62,100.0,SEVERE
Tambaram,58,68,128,203,137,53,18,31,77,78,8,53,69.6,HIGH
Tambaram,62,51,154,193,166,42,4,66,87,66,19,70,77.5,SEVERE
Tambaram,63,112,143,131,164,32,66,23,45,55,13,39,75.32,SEVERE
Tambaram,45,114,61,163,95,56,49,38,69,89,12,77,76.96,SEVERE
Tambaram,34,115,52,117,144,78,48,77,75,82,26,22,77.12,SEVERE
Tambaram,26,31,54,184,191,33,73,57,81,94,31,24,98.4,SEVERE
Tambaram,42,84,122,121,259,24,9,7,81,64,16,61,96.08,SEVERE
Tambaram,14,35,170,126,93,41,33,25,42,83,5,34,69.33,HIGH
Tambaram,80,112,78,141,64,62,15,10,70,50,17,18,49.15,MODERATE
Tambaram,55,103,98,81,90,28,20,29,36,75,6,59,74.48,HIGH
Tambaram,51,110,98,100,177,65,43,46,55,58,12,82,100.0,SEVERE
Tambaram,86,91,42,173,177,87,48,43,43,59,22,76,100.0,SEVERE
Tambaram,58,70,84,180,123,32,86,49,46,91,33,35,75.06,SEVERE
Tambaram,66,115,114,185,179,85,40,33,51,99,22,22,100.0,SEVERE
Tambaram,74,67,116,185,163,87,63,59,78,77,3,44,96.83,SEVERE
Tambaram,21,70,84,53,84,52,7,69,76,82,7,73,56.4,HIGH
Tambaram,10,72,150,55,70,42,51,40,51,55,3,12,52.83,MODERATE
Tambaram,72,63,46,120,257,31,49,45,44,66,17,47,100.0,SEVERE
Tambaram,14,20,94,204,67,16,67,38,37,52,23,51,61.48,HIGH
Tambaram,52,106,80,117,92,64,3,23,73,41,34,42,56.94,HIGH
Tambaram,61,65,163,213,100,70,30,79,38,57,25,73,70.18,HIGH
Tambaram,37,81,115,217,246,65,67,72,33,83,27,20,100.0,SEVERE
Tambaram,37,68,105,206,253,78,65,12,88,48,7,15,100.0,SEVERE
Tambaram,28,28,94,173,258,56,60,67,87,56,34,51,100.0,SEVERE
Tambaram,17,108,132,79,238,18,68,20,25,88,29,18,100.0,SEVERE
Tambaram,12,94,167,177,106,26,68,9,60,66,26,26,63.09,HIGH
Tambaram,29,55,44,126,112,19,55,47,26,51,4,64,79.66,SEVERE
Saidapet,25,117,72,166,153,25,30,6,76,60,18,22,72.75,HIGH
Saidapet,55,107,138,152,237,24,96,46,50,55,26,88,100.0,SEVERE
Saidapet,47,93,92,181,201,15,55,17,56,63,28,79,97.79,SEVERE
Saidapet,60,85,127,183,256,80,13,40,54,70,19,67,100.0,SEVERE
Saidapet,46,105,80,53,255,26,60,65,40,60,11,21,100.0,SEVERE
Saidapet,46,73,37,193,195,16,84,7,62,67,18,86,100.0,SEVERE
Saidapet,56,115,140,200,146,34,51,66,89,81,25,50,81.31,SEVERE
Saidapet,49,101,115,184,65,74,50,79,55,68,6,74,57.59,HIGH
Saidapet,17,41,162,57,161,44,93,69,87,57,21,66,92.11,SEVERE
Saidapet,88,55,53,154,216,21,4,72,90,49,31,82,82.02,SEVERE
Saidapet,56,119,165,152,99,17,25,9,34,44,27,57,55.71,HIGH
Saidapet,42,60,65,125,94,60,99,44,42,81,29,47,87.4,SEVERE
Saidapet,24,119,81,109,205,11,20,14,49,73,7,37,89.93,SEVERE
Saidapet,11,82,38,138,235,77,23,24,78,89,11,10,100.0,SEVERE
Saidapet,45,113,152,183,64,82,75,34,64,89,31,54,98.21,SEVERE
Saidapet,64,25,153,84,238,56,32,9,21,84,14,77,100.0,SEVERE
Saidapet,85,30,128,209,124,15,87,40,22,90,24,15,83.87,SEVERE
Saidapet,86,22,150,136,176,78,89,14,21,47,24,55,100.0,SEVERE
Saidapet,52,93,84,211,258,75,45,70,74,71,16,76,100.0,SEVERE
Saidapet,89,26,135,161,177,14,49,71,37,81,30,86,100.0,SEVERE
Saidapet,65,68,125,176,202,30,75,45,89,79,31,88,98.51,SEVERE
Saidapet,40,67,148,150,147,22,71,37,22,57,31,19,84.45,SEVERE
Saidapet,16,36,171,150,102,24,42,59,74,51,25,81,68.27,HIGH
Saidapet,86,72,147,104,119,29,21,40,27,90,18,83,72.89,HIGH
Saidapet,51,35,154,172,89,59,53,20,29,85,10,51,73.51,HIGH
Saidapet,13,55,114,124,182,25,44,61,45,49,29,72,86.64,SEVERE
Saidapet,72,94,108,53,179,33,77,40,87,75,20,83,96.0,SEVERE
Saidapet,39,107,144,77,158,41,64,8,73,84,9,22,88.5,SEVERE
Saidapet,85,97,173,140,247,11,28,5,70,70,11,34,99.66,SEVERE
Saidapet,51,81,69,88,130,60,25,33,60,51,20,21,67.07,HIGH
Saidapet,32,22,174,102,220,86,80,67,27,62,26,56,100.0,SEVERE
Saidapet,74,102,90,90,121,35,34,27,54,42,11,35,69.79,HIGH
Saidapet,64,111,116,68,240,48,68,33,57,69,11,54,100.0,SEVERE
Saidapet,20,104,117,215,180,65,89,54,44,71,9,36,100.0,SEVERE
Saidapet,63,78,79,57,200,80,73,36,69,64,13,36,100.0,SEVERE
Saidapet,63,37,160,75,178,24,36,54,94,99,31,28,85.45,SEVERE
Saidapet,83,47,37,160,75,13,93,42,28,79,14,52,82.61,SEVERE
Saidapet,61,102,96,214,149,49,88,52,85,87,25,29,100.0,SEVERE
Saidapet,59,48,82,181,95,19,76,26,77,72,34,51,69.75,HIGH
Saidapet,26,119,143,68,61,33,1,31,94,68,2,49,31.5,LOW
Saidapet,17,97,99,53,194,48,77,51,79,67,2,20,95.82,SEVERE
Saidapet,73,61,159,81,136,74,12,29,76,75,27,51,78.54,SEVERE
Saidapet,87,32,120,69,105,35,64,37,84,57,22,71,61.57,HIGH
Saidapet,68,28,113,120,251,75,92,68,50,84,3,54,100.0,SEVERE
Saidapet,87,88,156,89,258,56,67,62,67,59,22,62,100.0,SEVERE
Saidapet,50,70,51,65,64,66,41,69,72,48,5,39,62.54,HIGH
Saidapet,24,22,94,218,196,51,14,31,59,56,25,88,97.3,SEVERE
Saidapet,20,92,101,98,103,15,47,56,37,40,17,64,65.39,HIGH
Saidapet,22,94,159,180,163,71,39,6,47,82,23,89,96.09,SEVERE
Saidapet,10,47,162,188,79,23,56,54,93,85,8,12,46.84,MODERATE
Saidapet,83,77,107,101,77,84,82,17,72,61,16,77,79.58,SEVERE
Saidapet,34,102,167,63,226,51,59,10,71,80,23,73,100.0,SEVERE
Saidapet,69,118,132,164,168,75,7,42,51,94,4,61,95.27,SEVERE
Saidapet,78,43,161,134,254,72,3,20,50,52,6,88,100.0,SEVERE
Saidapet,27,38,167,106,62,43,45,51,45,95,23,88,65.06,HIGH
Saidapet,39,89,143,104,247,82,89,21,73,46,5,87,100.0,SEVERE
Saidapet,44,50,45,164,204,49,80,29,61,57,21,20,100.0,SEVERE
Saidapet,54,64,128,137,116,28,64,75,76,78,32,81,58.61,HIGH
Saidapet,60,82,75,194,233,38,47,19,33,55,14,31,100.0,SEVERE
Saidapet,59,52,112,96,200,65,96,8,83,60,4,65,100.0,SEVERE
Saidapet,88,42,114,84,84,10,1,40,52,42,13,31,36.87,MODERATE
Saidapet,65,111,62,86,210,36,84,39,35,90,20,74,100.0,SEVERE
Saidapet,64,32,131,120,218,83,40,71,28,46,34,55,100.0,SEVERE
Saidapet,33,88,154,205,141,48,16,11,52,74,5,42,86.11,SEVERE
Saidapet,85,54,91,198,198,33,68,16,53,58,34,12,97.64,SEVERE
Saidapet,12,86,133,74,67,19,40,14,72,44,28,79,43.63,MODERATE
Saidapet,85,24,84,179,127,72,77,79,44,60,2,32,91.76,SEVERE
Saidapet,43,105,147,173,61,50,72,23,51,83,28,78,64.7,HIGH
Saidapet,40,86,95,118,93,50,23,44,86,86,17,88,75.77,SEVERE
Saidapet,71,54,162,113,111,21,84,27,80,45,18,44,66.6,HIGH
Saidapet,15,54,103,184,152,30,26,50,52,94,16,55,91.44,SEVERE
Saidapet,78,54,96,150,71,53,34,16,51,66,8,53,63.38,HIGH
Saidapet,87,81,147,61,213,38,71,65,38,55,3,58,100.0,SEVERE
Saidapet,22,51,93,205,84,39,63,22,86,94,14,69,70.45,HIGH
Saidapet,24,24,85,72,118,64,58,20,21,53,17,72,84.26,SEVERE
Saidapet,54,27,67,56,165,47,58,51,49,92,32,18,83.24,SEVERE
Saidapet,29,72,39,111,98,51,81,74,35,72,17,43,90.42,SEVERE
Saidapet,42,26,167,208,124,52,86,42,56,95,29,50,81.66,SEVERE
Saidapet,64,47,112,161,77,58,73,21,61,82,3,61,73.28,HIGH
Saidapet,61,20,37,125,249,10,78,10,56,65,17,16,100.0,SEVERE
Saidapet,71,85,114,102,190,94,92,73,36,75,15,87,100.0,SEVERE
Saidapet,23,51,138,177,130,21,13,56,54,69,28,11,66.52,HIGH
Saidapet,84,115,107,103,106,25,99,19,53,68,24,77,80.73,SEVERE
Saidapet,55,63,57,85,146,13,31,39,55,88,33,68,75.86,SEVERE
Saidapet,68,79,101,124,141,59,17,43,35,80,30,50,87.33,SEVERE
Saidapet,62,62,39,52,104,30,72,42,94,72,31,54,51.88,MODERATE
Saidapet,45,47,103,163,135,69,98,35,42,64,29,24,99.57,SEVERE
Saidapet,77,98,148,204,96,60,9,27,23,80,22,69,80.01,SEVERE
Saidapet,64,102,163,62,140,10,81,14,81,49,2,80,76.29,SEVERE
Saidapet,61,47,135,122,114,43,0,27,64,48,5,62,62.87,HIGH
